DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8239021,1,3,1,70,583.6891,2,22,10.0,2002.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,10.0,,,,,,
8239021,1,4,1,70,583.6891,2,26,9.0,1998.0,3,4.0,6,2,1,1,1,3.0,1.0,2.0,8.0,980000.0,48.0,1.0,24.0,10.0,2.0
8239021,1,5,1,70,583.6891,2,6,9.0,2018.0,8,,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8239022,1,1,1,70,513.2912,2,36,12.0,1988.0,1,4.0,6,2,3,2,1,3.0,1.0,1.0,5.0,880000.0,56.0,3.0,4.0,97.0,2.0
8239022,1,2,1,70,513.2912,2,16,11.0,2008.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,5.0,,,,,,
8239022,1,3,1,70,513.2912,2,12,8.0,2012.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,4.0,,,,,,
8239023,1,1,1,70,974.6424,1,62,5.0,1963.0,1,3.0,6,1,3,3,1,3.0,1.0,2.0,3.0,1500000.0,49.0,4.0,60.0,49.0,2.0
8239023,1,2,1,70,974.6424,2,56,8.0,1968.0,2,3.0,6,2,2,3,1,3.0,1.0,2.0,10.0,,,,,,
8239023,1,3,1,70,974.6424,2,21,2.0,2004.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,10.0,,,,,,
8239023,1,4,1,70,974.6424,1,19,12.0,2005.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,10.0,,,,,,
8239024,1,1,1,70,1225.0505,1,70,11.0,1954.0,1,4.0,1,1,3,3,1,3.0,1.0,2.0,5.0,,,,,,
8239025,1,1,1,70,891.0055,1,69,2.0,1956.0,1,3.0,6,2,3,3,1,3.0,1.0,2.0,5.0,400000.0,40.0,4.0,48.0,77.0,2.0
8239025,1,2,1,70,891.0055,2,65,4.0,1960.0,2,3.0,6,2,3,3,1,3.0,1.0,2.0,4.0,,,,,,
8239025,1,3,1,70,891.0055,1,11,7.0,2013.0,8,6.0,6,2,2,2,1,3.0,1.0,1.0,4.0,,,,,,
8239026,1,1,1,70,960.2035,2,64,11.0,1960.0,1,3.0,6,2,3,3,1,3.0,1.0,2.0,5.0,300000.0,12.0,4.0,24.0,81.0,2.0
8239026,1,2,1,70,960.2035,1,67,9.0,1957.0,2,3.0,6,1,3,3,1,3.0,1.0,2.0,5.0,1460000.0,30.0,1.0,5.0,1.0,2.0
8239027,1,1,1,70,343.1965,2,59,2.0,1966.0,1,4.0,6,2,3,3,1,3.0,1.0,2.0,5.0,640000.0,49.0,3.0,36.0,97.0,2.0
8239027,1,2,1,70,343.1965,2,27,11.0,1997.0,3,4.0,6,1,2,1,1,3.0,1.0,2.0,5.0,560000.0,40.0,3.0,24.0,97.0,2.0
8239027,1,3,1,70,343.1965,2,3,1.0,2022.0,8,,6,2,2,1,1,3.0,2.0,2.0,1.0,,,,,,
8239027,1,4,1,70,343.1965,2,25,6.0,1999.0,3,4.0,6,2,2,1,1,2.0,1.0,2.0,5.0,,,,,,
8239027,1,5,1,70,343.1965,1,6,6.0,2018.0,8,,6,2,2,1,1,2.0,1.0,1.0,3.0,,,,,,
8239028,1,1,1,70,1225.0505,1,62,5.0,1963.0,1,6.0,6,2,3,3,1,3.0,1.0,2.0,5.0,,,,,,
8239029,1,1,1,70,2005.6225,1,29,9.0,1995.0,1,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,1200000.0,48.0,1.0,6.0,64.0,2.0
8239029,1,2,1,70,2005.6225,2,24,2.0,2001.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8239029,1,3,1,70,2005.6225,2,1,2.0,2024.0,3,,6,2,1,1,1,3.0,,,,,,,,,
8239029,1,4,1,70,2005.6225,1,24,10.0,2000.0,6,6.0,6,2,2,2,1,3.0,1.0,2.0,4.0,1100000.0,56.0,4.0,36.0,49.0,2.0
8239030,1,1,1,70,607.6001,2,37,8.0,1987.0,1,2.0,5,1,2,2,1,3.0,1.0,2.0,4.0,60000.0,5.0,4.0,6.0,96.0,2.0
